City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
472,mitzic,0.7821,11.549,293.28,97,95,0.97,GA,1669850352
473,alvdal,62.1077,10.6307,268.09,97,99,0.77,NO,1669850352
474,shatrovo,56.5167,64.6333,257.31,90,100,2.46,RU,1669850352
475,gobabis,-22.45,18.9667,297.0,33,12,1.28,NA,1669850352
476,stornoway,58.2093,-6.3865,283.13,94,100,10.29,GB,1669850353
477,trebinje,42.7119,18.3442,287.34,50,0,3.09,BA,1669850070
478,rosetta,31.4044,30.4164,291.02,72,0,3.46,EG,1669850353
479,namatanai,-3.6667,152.4333,302.61,66,71,1.6,PG,1669850353
480,jacksonville,30.3322,-81.6556,292.21,96,75,2.57,US,1669850094
481,kanniyakumari,8.0833,77.5667,298.35,72,100,5.05,IN,1669850353
482,teguise,29.0605,-13.564,289.27,72,40,3.09,ES,1669850103
483,coihaique,-45.5752,-72.0662,286.12,47,20,3.09,CL,1669850342
484,cayenne,4.9333,-52.3333,299.17,83,100,1.03,GF,1669850258
485,songea,-10.6833,35.65,291.06,90,99,1.32,TZ,1669850354
486,neryungri,56.6709,124.6491,243.06,99,100,0.83,RU,1669850225
487,sundsvall,62.3913,17.3063,274.24,99,100,1.54,SE,1669850354
488,surazh,53.0175,32.3918,269.08,88,100,4.58,RU,1669850354
489,codrington,-38.2667,141.9667,289.1,76,90,3.91,AU,1669850354
490,olinda,-8.0089,-34.8553,299.0,78,75,1.03,BR,1669850350
491,palairos,38.7833,20.8833,286.95,82,75,8.23,GR,1669850099
492,lampa,-33.2833,-70.9,295.35,45,0,6.69,CL,1669850354
493,okato,-39.2,173.8833,287.42,76,59,6.67,NZ,1669850355
494,lichtenau,51.6167,8.9,277.94,98,100,1.54,DE,1669849994
495,north myrtle beach,33.816,-78.68,292.07,84,20,2.06,US,1669850355
496,chakia,26.4167,85.05,288.8,58,12,3.03,IN,1669850355
497,samarai,-10.6167,150.6667,302.28,71,100,3.91,PG,1669850355
498,cabedelo,-6.9811,-34.8339,300.52,72,98,4.74,BR,1669850355
499,ballitoville,-29.539,31.2144,294.4,86,33,6.0,ZA,1669850110
500,xiongyue,40.1774,122.1228,267.71,44,97,5.8,CN,1669850355
501,boksitogorsk,59.474,33.8485,264.76,86,99,1.84,RU,1669850355
502,fonte boa,-2.4959,-66.2662,299.75,78,98,1.39,BR,1669850356
503,chengdu,30.6667,104.0667,278.09,70,40,1.0,CN,1669850356
504,hithadhoo,-0.6,73.0833,300.14,73,61,3.32,MV,1669850356
505,abu kamal,34.4506,40.9171,288.58,72,74,3.3,SY,1669850356
506,nanortalik,60.1432,-45.2371,271.53,79,100,14.42,GL,1669850356
507,camana,-16.6228,-72.7111,293.44,78,10,2.95,PE,1669850348
508,fergus falls,46.283,-96.0776,262.19,80,100,5.66,US,1669850356
509,aripuana,-9.1667,-60.6333,300.53,64,49,0.76,BR,1669850357
510,notodden,59.5594,9.2585,273.83,91,100,0.4,NO,1669850357
511,lusambo,-4.9667,23.45,293.07,99,100,0.54,CD,1669850357
512,olafsvik,64.8945,-23.7142,279.78,75,81,13.43,IS,1669850357
513,boa vista,2.8197,-60.6733,301.14,65,0,2.57,BR,1669850215
514,solnechnyy,50.7214,136.6319,249.97,95,66,1.52,RU,1669850357
515,keti bandar,24.1447,67.4497,294.78,23,40,4.39,PK,1669850358
516,santiago del estero,-27.7951,-64.2615,302.66,39,94,6.82,AR,1669850358
517,baykit,61.67,96.37,256.05,96,100,2.02,RU,1669850358
518,teahupoo,-17.8333,-149.2667,301.13,82,35,5.72,PF,1669850358
519,mumford,5.2618,-0.759,299.36,85,47,3.02,GH,1669850358
520,bogatyye saby,56.0102,50.4483,260.15,95,90,2.05,RU,1669850358
521,leer,53.2316,7.461,278.79,94,100,2.42,DE,1669850106
522,marsh harbour,26.5412,-77.0636,298.75,75,49,4.22,BS,1669850359
523,laguna,38.421,-121.4238,288.74,46,0,3.09,US,1669850359
524,portland,45.5234,-122.6762,280.14,92,75,2.24,US,1669850210
525,george,-33.963,22.4617,287.9,94,100,1.03,ZA,1669850359
526,kpandae,8.4689,-0.0113,299.54,46,32,0.91,GH,1669850359
